Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520373600.0 1338.0 NA 90 NA NA NA 165 NA NA NA 1014 NA NA NA 1238 NA NA
1520373600.0 1339.0 NA 90 NA NA NA 166 NA NA NA 1075 NA NA NA 1466 NA NA
1520373600.0 134.701 NA 43 NA NA NA 102 NA NA NA 542 NA NA NA 638 NA NA
1520373600.0 134.702 NA 38 NA NA NA 103 NA NA NA 564 NA NA NA 664 NA NA
1520373600.0 134.703 NA 42 NA NA NA 107 NA NA NA 567 NA NA NA 691 NA NA
1520373600.0 134.704 NA 45 NA NA NA 104 NA NA NA 568 NA NA NA 666 NA NA
1520373600.0 134.705 NA 46 NA NA NA 106 NA NA NA 577 NA NA NA 674 NA NA
1520373600.0 134.706 NA 39 NA NA NA 106 NA NA NA 569 NA NA NA 699 NA NA
1520373600.0 134.707 NA 34 NA NA NA 107 NA NA NA 556 NA NA NA 692 NA NA
1520373600.0 134.708 NA 42 NA NA NA 104 NA NA NA 571 NA NA NA 703 NA NA
1520373600.0 134.709 NA 46 NA NA NA 106 NA NA NA 565 NA NA NA 661 NA NA
1520373600.0 134.71 NA 44 NA NA NA 101 NA NA NA 536 NA NA NA 628 NA NA
1520373600.0 134.801 NA 47 NA NA NA 107 NA NA NA 549 NA NA NA 662 NA NA
1520373600.0 134.802 NA 30 NA NA NA 104 NA NA NA 635 NA NA NA 771 NA NA
1520373600.0 134.803 NA 33 NA NA NA 108 NA NA NA 643 NA NA NA 815 NA NA
1520373600.0 134.804 NA 32 NA NA NA 107 NA NA NA 643 NA NA NA 751 NA NA
1520373600.0 134.805 NA 34 NA NA NA 108 NA NA NA 655 NA NA NA 813 NA NA
1520373600.0 134.806 NA 31 NA NA NA 105 NA NA NA 651 NA NA NA 835 NA NA
